freq,psd_x,psd_y,psd_z,psd_xyz
143.3,3.963e+03,8.636e+03,4.304e+03,1.690e+04
144.8,4.252e+03,7.779e+03,4.730e+03,1.676e+04
146.4,4.742e+03,7.065e+03,5.330e+03,1.714e+04
147.9,3.614e+03,6.435e+03,5.125e+03,1.517e+04
149.5,1.669e+03,5.529e+03,4.371e+03,1.157e+04
151.1,1.362e+03,4.930e+03,4.471e+03,1.076e+04
152.6,1.700e+03,4.819e+03,4.996e+03,1.151e+04
154.2,2.083e+03,4.871e+03,5.658e+03,1.261e+04
155.7,1.346e+03,5.063e+03,5.324e+03,1.173e+04
157.3,9.298e+02,6.592e+03,5.861e+03,1.338e+04
158.9,1.203e+03,1.059e+04,8.239e+03,2.003e+04
160.4,1.310e+03,1.739e+04,1.127e+04,2.997e+04
162.0,1.301e+03,2.259e+04,1.012e+04,3.401e+04
163.5,1.271e+03,2.455e+04,7.559e+03,3.337e+04
165.1,1.678e+03,2.425e+04,6.158e+03,3.209e+04
166.6,3.683e+03,2.376e+04,5.896e+03,3.334e+04
168.2,9.282e+03,2.278e+04,6.350e+03,3.842e+04
169.8,1.490e+04,2.251e+04,7.260e+03,4.467e+04
171.3,1.723e+04,2.198e+04,8.387e+03,4.760e+04
172.9,1.680e+04,2.004e+04,9.880e+03,4.673e+04
174.4,1.395e+04,1.771e+04,1.080e+04,4.246e+04
176.0,1.339e+04,1.377e+04,9.720e+03,3.688e+04
177.5,1.682e+04,1.032e+04,9.237e+03,3.638e+04
179.1,2.101e+04,9.428e+03,9.636e+03,4.008e+04
180.7,2.661e+04,9.007e+03,9.661e+03,4.528e+04
182.2,3.487e+04,8.480e+03,8.671e+03,5.202e+04
183.8,4.278e+04,1.000e+04,8.630e+03,6.141e+04
185.3,5.472e+04,1.108e+04,8.769e+03,7.457e+04
186.9,6.879e+04,1.104e+04,8.273e+03,8.810e+04
188.4,8.597e+04,1.007e+04,7.827e+03,1.039e+05
190.0,1.101e+05,1.027e+04,8.327e+03,1.287e+05
191.6,1.337e+05,1.221e+04,9.886e+03,1.557e+05
193.1,1.524e+05,1.241e+04,1.071e+04,1.755e+05
194.7,1.479e+05,1.220e+04,1.150e+04,1.716e+05
196.2,1.331e+05,1.138e+04,1.258e+04,1.570e+05
197.8,1.180e+05,1.085e+04,1.302e+04,1.419e+05
199.3,1.055e+05,1.073e+04,1.344e+04,1.297e+05
